"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"393",1,"WN","PDX",4
"394",1,"WN","PDX",7
"395",1,"WN","PDX",-2
"396",1,"WN","PDX",-6
"397",1,"WN","PDX",-5
"398",1,"WN","PDX",-5
"399",1,"WN","PDX",-8
"400",1,"WN","PDX",3
"401",1,"WN","PDX",-8
"402",1,"WN","PDX",-6
"403",1,"WN","PDX",-2
"404",1,"WN","PDX",0
"405",1,"WN","PDX",10
"406",1,"WN","PDX",-5
"407",1,"WN","PDX",-7
"408",1,"WN","PDX",-6
"409",1,"WN","PDX",28
"410",1,"WN","PDX",-2
"411",1,"WN","PDX",-1
"412",1,"WN","PDX",-1
"413",1,"WN","PDX",-3
"414",1,"WN","PDX",-1
"415",1,"WN","PDX",-3
"416",1,"WN","PDX",3
"417",1,"WN","PDX",5
"418",1,"WN","PDX",-4
"419",1,"WN","PDX",-5
"420",1,"WN","PDX",-7
"421",1,"WN","PDX",-5
"422",1,"WN","PDX",0
"423",1,"WN","PDX",-4
"424",1,"WN","PDX",3
"425",1,"WN","PDX",5
"426",1,"WN","PDX",-3
"427",1,"WN","PDX",-1
"428",1,"WN","PDX",0
"429",1,"WN","PDX",-3
"430",1,"WN","PDX",-5
"431",1,"WN","PDX",2
"432",1,"WN","PDX",-2
"433",1,"WN","PDX",-5
"434",1,"WN","PDX",-5
"435",1,"WN","PDX",-1
"436",1,"WN","PDX",-1
"437",1,"WN","PDX",0
"438",1,"WN","PDX",10
"439",1,"WN","PDX",0
"440",1,"WN","PDX",-1
"441",1,"WN","PDX",-7
"442",1,"WN","PDX",-3
"443",1,"WN","PDX",-1
"444",1,"WN","PDX",-1
"445",1,"WN","PDX",-4
"446",1,"WN","PDX",-4
"447",1,"WN","PDX",-3
"448",1,"WN","PDX",-3
"449",1,"WN","PDX",-5
"450",1,"WN","PDX",-6
"451",1,"WN","PDX",-5
"452",1,"WN","PDX",-8
"453",1,"WN","PDX",-4
"454",1,"WN","PDX",-3
"455",1,"WN","PDX",6
"456",1,"WN","PDX",-4
"457",1,"WN","PDX",-1
"458",1,"WN","PDX",-1
"459",1,"WN","PDX",0
"460",1,"WN","PDX",-6
"461",1,"WN","PDX",-6
"462",1,"WN","PDX",-4
"463",1,"WN","PDX",-2
"464",1,"WN","PDX",-2
"465",1,"WN","PDX",-3
"466",1,"WN","PDX",-6
"467",1,"WN","PDX",2
"468",1,"WN","PDX",-8
"469",1,"WN","PDX",25
"470",1,"WN","PDX",2
"471",1,"WN","PDX",-5
"472",1,"WN","PDX",-2
"473",1,"WN","PDX",-3
"474",1,"WN","PDX",-6
"475",1,"WN","PDX",-1
"476",1,"WN","PDX",-4
"477",1,"WN","PDX",3
"478",1,"WN","PDX",-2
"479",1,"WN","PDX",9
"480",1,"WN","PDX",-2
"481",1,"WN","PDX",11
"482",1,"WN","PDX",-4
"483",1,"WN","PDX",-4
"484",1,"WN","PDX",13
"485",1,"WN","PDX",-1
"486",1,"WN","PDX",0
"487",1,"WN","PDX",10
"488",1,"WN","PDX",-3
"489",1,"WN","PDX",-1
"490",1,"WN","PDX",6
"491",1,"WN","PDX",-2
"492",1,"WN","PDX",-5
"493",1,"WN","PDX",-4
"494",1,"WN","PDX",3
"495",1,"WN","PDX",18
"496",1,"WN","PDX",3
"497",1,"WN","PDX",0
"498",1,"WN","PDX",5
"499",1,"WN","PDX",13
"500",1,"WN","PDX",17
"501",1,"WN","PDX",65
"502",1,"WN","PDX",-3
"503",1,"WN","PDX",17
"504",1,"WN","PDX",6
"505",1,"WN","PDX",34
"506",1,"WN","PDX",107
"507",1,"WN","PDX",2
"508",1,"WN","PDX",1
